Date,Price,Open,High,Low,Vol.,Change %
15-Jun-15,488.88,503.25,503.25,486.12,-,-3.05%
12-Jun-15,504.25,504,510.62,500.75,-,-0.17%
11-Jun-15,505.12,513.88,515.25,502.75,-,-1.46%
10-Jun-15,512.62,532.5,537.38,512.62,-,-3.78%
9-Jun-15,532.75,527.25,537.12,524.12,-,0.97%
8-Jun-15,527.62,516.38,532.62,516.38,-,2.06%
5-Jun-15,517,523.5,533.88,516.25,-,-1.17%
4-Jun-15,523.12,510,524.12,504.12,-,2.75%
3-Jun-15,509.12,513.38,525.88,508.38,-,-0.68%
2-Jun-15,512.62,495.12,513.12,493.12,-,3.61%
1-Jun-15,494.75,478,495.38,474.12,-,3.53%
29-May-15,477.88,487.12,489.12,474.62,-,-1.95%
28-May-15,487.38,488.5,494.62,483.12,-,-0.18%
27-May-15,488.25,495.88,496.12,482.38,-,-0.89%
26-May-15,492.62,515.75,519.38,492.12,-,-4.34%
22-May-15,515,521.38,528.88,511.12,-,-1.06%
21-May-15,520.5,514.12,527.88,511.12,-,1.56%
20-May-15,512.5,510.75,515.62,503.12,-,0.37%
19-May-15,510.62,520.12,524.62,503.88,-,-2.16%
18-May-15,521.88,510.88,529.88,507.88,-,2.18%
15-May-15,510.75,515,519.62,506.12,-,-0.75%
14-May-15,514.62,481.12,515,481.12,-,6.85%
13-May-15,481.62,480.88,486.12,471.12,-,0.05%
12-May-15,481.38,481,489.88,478.38,-,-0.05%
11-May-15,481.62,482.88,484.12,476.38,-,-0.16%
8-May-15,482.38,472.25,482.38,471.88,-,2.06%
7-May-15,472.62,480.38,483.88,471.38,-,-1.38%
6-May-15,479.25,468.38,482.12,467.5,-,2.68%
5-May-15,466.75,470.88,472.62,461.12,-,-1.27%
4-May-15,472.75,471.75,474.38,466.5,-,-0.24%
1-May-15,473.88,476.12,479.12,468.62,-,-0.32%
30-Apr-15,475.38,483.75,488.62,471.88,-,-1.76%
29-Apr-15,483.88,476.5,483.88,474.12,-,1.57%
28-Apr-15,476.38,475.12,478.38,464.12,-,0.53%
27-Apr-15,473.88,488.38,490.38,472.62,-,-2.57%
24-Apr-15,486.38,498,498.88,485.25,-,-2.36%
23-Apr-15,498.12,499.75,503.38,497.62,-,-0.20%
22-Apr-15,499.12,500.38,504.62,496.38,-,-0.27%
21-Apr-15,500.5,498.38,506.38,494.38,-,0.38%
20-Apr-15,498.62,493.88,499.12,492.12,-,1.12%
17-Apr-15,493.12,494,499.75,490.88,-,-0.30%
16-Apr-15,494.62,490.38,495.38,489.12,-,0.82%
15-Apr-15,490.62,497.62,503.88,490.12,-,-1.38%
14-Apr-15,497.5,503.88,506.12,496.38,-,-0.97%
13-Apr-15,502.38,518.12,519.88,501.62,-,-4.63%
10-Apr-15,526.75,517.88,527.38,515.62,-,1.52%
9-Apr-15,518.88,525.25,526.62,513.88,-,-1.26%
8-Apr-15,525.5,528.38,530.75,518.38,-,-0.26%
7-Apr-15,526.88,525.88,533.88,517.88,-,-0.28%
6-Apr-15,528.38,537.62,543.62,525.12,-,-1.03%
2-Apr-15,533.88,527.75,544.12,522.62,-,0.95%
1-Apr-15,528.88,513.38,528.88,506.12,-,3.12%
31-Mar-15,512.88,531.38,531.5,509.12,-,-3.30%
30-Mar-15,530.38,512.12,530.62,508.62,-,4.46%
27-Mar-15,507.75,499.12,508.88,499.12,-,1.83%
